Record_ID,Date,Day,Month,Branch,Region,Store_Type,Staff_Count,Marketing_Spend,Customers,Orders,Average_Bill,Revenue,Food_Cost,Operating_Cost,Profit,Avg_Delivery_Min,Customer_Rating,Temperature_C,Humidity_Percent,Weather,Promotion
ST0001,2026-06-06,Saturday,June,Jaipur,North,Express,7,4977.25,172,135,375.75,66766.77,27954.29,46554.9,20211.87,29.0,4.44,20.8,70.3,Clear,None
ST0002,2026-02-10,Tuesday,February,Pune,West,Premium,14,8998.3,285,263,530.64,157230.89,63816.59,96813.95,60416.94,27.9,4.56,31.3,70.7,Clear,Loyalty Offer
ST0003,2026-03-07,Saturday,March,Delhi,North,Premium,16,10034.97,306,264,534.97,155811.96,54874.1,89888.91,65923.05,30.2,4.36,21.4,61.5,Clear,None
ST0004,2026-05-11,Monday,May,Mumbai,West,Standard,9,5095.84,198,167,370.05,80574.05,31429.44,53531.82,27042.23,21.7,4.65,22.9,40.4,Clear,None
ST0005,2026-01-14,Wednesday,January,Kochi,South,Express,9,6681.82,148,116,364.62,56579.89,21759.51,44376.25,12203.64,26.1,4.5,29.0,44.3,Clear,Combo Deal
ST0006,2026-06-09,Tuesday,June,Kochi,South,Standard,18,4687.76,214,168,341.96,81924.59,30841.04,63984.74,17939.85,20.4,4.34,28.7,37.8,Rain,Combo Deal
ST0007,2026-04-21,Tuesday,April,Delhi,North,Standard,13,1618.57,247,208,328.44,79082.15,32501.51,54498.37,24583.78,27.4,4.59,29.9,62.5,Hot,Loyalty Offer
ST0008,2026-06-29,Monday,June,Srinagar,North,Standard,14,5146.99,230,204,388.09,85207.79,27056.21,54100.96,31106.83,27.5,4.12,29.1,60.7,Clear,None
ST0009,2026-04-08,Wednesday,April,Hyderabad,South,Express,10,1777.67,173,157,395.08,71084.85,26511.31,44688.42,26396.43,31.8,4.45,29.5,69.4,Clear,Weekend Offer
ST0010,2026-05-29,Friday,May,Bengaluru,South,Premium,17,8679.18,328,278,502.18,159246.81,52868.37,86462.19,72784.62,29.6,4.4,38.7,59.8,Clear,Combo Deal
ST0011,2026-04-15,Wednesday,April,Bengaluru,South,Standard,8,4944.91,145,114,402.45,55114.29,17459.2,33748.0,21366.29,21.6,4.73,26.7,48.0,Rain,None
ST0012,2026-04-08,Wednesday,April,Hyderabad,South,Standard,8,6841.97,247,222,402.21,101404.63,38904.35,59886.83,41517.8,23.6,4.63,28.4,54.7,Clear,Weekend Offer
ST0013,2026-02-05,Thursday,February,Mumbai,West,Express,7,6039.7,178,157,309.77,61794.39,23724.33,46424.05,15370.34,30.3,4.36,33.6,63.9,Clear,Weekend Offer
